* Measurement data measured by REW V5.31.3
* Source: EXCL: (Realtek(R) Audio), MICROPHONE, L, volume: 0,400
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 06.04.2025 11:09:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L+R àïð 6
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 97.178 50.9772
20.600000 97.181 49.5644
20.900000 97.177 48.3160
21.200001 97.171 47.0970
21.400000 97.167 46.2920
21.799999 97.162 44.6882
22.000000 97.161 43.8843
22.400000 97.160 42.2678
22.700001 97.161 41.0512
23.000000 97.161 39.8399
23.299999 97.160 38.6469
23.600000 97.158 37.4843
24.000000 97.154 35.9985
24.299999 97.151 34.9382
24.700001 97.147 33.5925
25.000000 97.147 32.6249
25.400000 97.150 31.3764
25.799999 97.150 30.1641
26.200001 97.145 28.9803
26.500000 97.137 28.1056
26.900000 97.122 26.9461
27.200001 97.105 26.0722
27.600000 97.077 24.8932
28.000000 97.040 23.7004
28.500000 96.983 22.2109
29.000000 96.922 20.7430
29.500000 96.865 19.2874
30.000000 96.818 17.8173
30.400000 96.786 16.6271
30.700001 96.764 15.7345
31.100000 96.740 14.5595
31.500000 96.719 13.4123
32.000000 96.705 12.0276
32.500000 96.693 10.7193
33.000000 96.682 9.5219
33.500000 96.677 8.4323
34.000000 96.678 7.3748
34.500000 96.672 6.2695
35.000000 96.639 5.1418
35.500000 96.575 4.1234
36.000000 96.500 3.2993
36.500000 96.440 2.5851
37.000000 96.399 1.7856
37.500000 96.358 0.8046
38.200001 96.274 -0.7125
38.700001 96.206 -1.7457
39.500000 96.126 -3.3594
40.000000 96.088 -4.4359
40.599998 96.042 -5.7404
41.200001 95.992 -6.9207
41.799999 95.952 -7.9557
42.500000 95.918 -9.0944
43.099998 95.883 -10.0682
43.700001 95.831 -10.9909
44.400002 95.755 -11.9449
45.000000 95.691 -12.7074
45.500000 95.638 -13.3759
46.200001 95.558 -14.3966
46.799999 95.482 -15.3131
47.500000 95.391 -16.3883
48.200001 95.307 -17.4571
48.700001 95.253 -18.2111
49.400002 95.187 -19.2666
50.000000 95.131 -20.1647
50.799999 95.053 -21.2464
51.500000 94.991 -22.0647
52.200001 94.935 -22.8898
53.000000 94.851 -23.8522
53.799999 94.753 -24.7162
54.500000 94.673 -25.4655
55.200001 94.594 -26.3056
56.000000 94.492 -27.3324
57.000000 94.357 -28.5605
58.000000 94.239 -29.6752
59.000000 94.137 -30.7970
60.000000 94.027 -31.8848
60.799999 93.931 -32.6669
61.500000 93.847 -33.2750
62.200001 93.771 -33.8654
63.000000 93.685 -34.6470
64.000000 93.550 -35.6367
65.000000 93.427 -36.4312
66.000000 93.326 -37.3768
67.000000 93.197 -38.3056
68.000000 93.076 -39.0357
69.000000 92.965 -39.8036
70.000000 92.843 -40.6146
71.000000 92.706 -41.3963
72.000000 92.577 -42.0719
73.000000 92.465 -42.8607
74.000000 92.335 -43.6365
75.000000 92.220 -44.3052
76.199997 92.068 -45.1579
77.500000 91.916 -45.7982
78.800003 91.767 -46.7848
80.000000 91.594 -47.5256
81.199997 91.446 -48.2646
82.500000 91.287 -49.0064
83.800003 91.141 -49.7567
85.000000 90.986 -50.3702
86.199997 90.832 -50.8367
87.500000 90.676 -51.3928
88.500000 90.544 -51.8756
90.000000 90.353 -52.5073
91.199997 90.211 -53.0397
92.500000 90.054 -53.6559
93.800003 89.881 -54.0726
95.000000 89.746 -54.4735
96.199997 89.590 -54.9179
97.500000 89.428 -55.3544
98.800003 89.268 -55.7762
100.000000 89.117 -56.2147
101.500000 88.926 -56.5363
103.000000 88.750 -56.9194
104.400002 88.575 -57.2661
106.000000 88.373 -57.5620
107.500000 88.189 -57.9146
109.000000 88.004 -58.1168
110.599998 87.811 -58.3647
112.000000 87.641 -58.6546
113.800003 87.422 -58.8366
115.000000 87.291 -59.0096
117.199997 87.024 -59.2098
118.000000 86.938 -59.2308
120.599998 86.639 -59.2779
122.000000 86.471 -59.3675
124.099998 86.227 -59.3795
125.000000 86.131 -59.4107
126.500000 85.954 -59.3651
128.000000 85.802 -59.3041
131.500000 85.435 -59.0881
132.000000 85.386 -59.1083
134.000000 85.170 -58.8511
136.000000 84.967 -58.6304
138.000000 84.755 -58.3755
140.000000 84.570 -58.1740
143.000000 84.291 -57.6267
145.000000 84.109 -57.1316
147.500000 83.881 -56.6662
150.000000 83.668 -56.0534
152.500000 83.475 -55.4975
155.000000 83.276 -54.7508
157.500000 83.061 -54.0463
160.000000 82.881 -53.3826
162.500000 82.700 -52.6863
165.000000 82.481 -51.8657
167.500000 82.311 -51.0322
170.000000 82.144 -50.2542
172.500000 81.972 -49.4836
175.000000 81.811 -48.6843
177.500000 81.687 -47.7649
180.000000 81.530 -46.9159
182.500000 81.400 -46.0066
185.000000 81.271 -45.1878
187.500000 81.153 -44.3833
190.000000 81.057 -43.5059
192.500000 80.960 -42.5491
195.000000 80.843 -41.8344
197.500000 80.733 -40.9511
200.000000 80.684 -40.2890
203.000000 80.603 -39.1151
206.000000 80.544 -38.1566
209.000000 80.485 -37.4324
212.000000 80.442 -36.4118
214.000000 80.360 -35.7550
218.000000 80.353 -34.8153
220.000000 80.322 -34.2798
224.000000 80.294 -33.3676
227.000000 80.263 -32.6682
230.000000 80.245 -31.9185
233.000000 80.265 -31.1615
236.000000 80.227 -30.5808
240.000000 80.183 -29.7868
243.000000 80.190 -29.1590
247.000000 80.174 -28.5251
250.000000 80.166 -27.8535
254.000000 80.154 -27.3411
258.000000 80.163 -26.7391
262.000000 80.165 -26.1073
265.000000 80.150 -25.5765
269.000000 80.159 -25.1542
272.000000 80.160 -24.7399
276.000000 80.148 -24.2989
280.000000 80.134 -23.7362
285.000000 80.166 -23.3059
290.000000 80.155 -22.7130
295.000000 80.164 -22.2646
300.000000 80.166 -21.8550
304.000000 80.155 -21.4629
307.000000 80.144 -21.2262
311.000000 80.164 -20.9431
315.000000 80.175 -20.6686
320.000000 80.176 -20.2537
325.000000 80.172 -19.9383
330.000000 80.185 -19.5196
335.000000 80.178 -19.4322
340.000000 80.166 -19.1902
345.000000 80.173 -18.9283
350.000000 80.172 -18.6099
355.000000 80.151 -18.1585
360.000000 80.157 -18.1748
365.000000 80.145 -17.8830
370.000000 80.127 -17.6589
375.000000 80.153 -17.3544
382.000000 80.132 -17.2606
387.000000 80.088 -16.9109
395.000000 80.093 -16.6606
400.000000 80.086 -16.5447
406.000000 80.083 -16.2743
412.000000 80.056 -15.9904
418.000000 80.044 -15.8937
425.000000 80.002 -15.6332
431.000000 80.010 -15.4086
437.000000 79.982 -15.1977
444.000000 79.977 -14.9435
450.000000 79.974 -14.7179
455.000000 79.950 -14.8094
462.000000 79.937 -14.3244
468.000000 79.906 -14.1676
475.000000 79.880 -14.0012
482.000000 79.890 -13.8225
487.000000 79.847 -13.6977
494.000000 79.847 -13.3960
500.000000 79.820 -13.2480
508.000000 79.809 -13.0733
515.000000 79.778 -12.5826
522.000000 79.771 -12.4630
530.000000 79.762 -12.4151
538.000000 79.724 -12.0772
545.000000 79.722 -11.8615
552.000000 79.695 -11.6696
560.000000 79.702 -11.4231
570.000000 79.643 -10.9842
580.000000 79.655 -10.5805
590.000000 79.600 -10.3190
600.000000 79.616 -10.1864
608.000000 79.578 -9.8310
615.000000 79.553 -9.5309
622.000000 79.549 -9.3911
630.000000 79.505 -9.0715
640.000000 79.524 -8.8267
650.000000 79.511 -8.6111
660.000000 79.506 -8.2503
670.000000 79.493 -7.9317
680.000000 79.475 -7.4727
690.000000 79.467 -7.1698
700.000000 79.451 -6.7832
710.000000 79.436 -6.6278
720.000000 79.450 -5.9911
730.000000 79.444 -5.7803
740.000000 79.453 -5.4695
750.000000 79.429 -5.0903
762.000000 79.442 -4.7901
775.000000 79.416 -4.2101
788.000000 79.430 -3.7490
800.000000 79.418 -3.2312
812.000000 79.471 -2.8231
825.000000 79.497 -2.1839
838.000000 79.578 -1.8802
850.000000 79.623 -1.2803
862.000000 79.646 -0.8216
875.000000 79.704 -0.4806
885.000000 79.758 0.0105
900.000000 79.819 0.5803
912.000000 79.873 1.1805
925.000000 79.940 1.7145
938.000000 79.986 2.1708
950.000000 80.027 2.4991
962.000000 80.109 3.1367
975.000000 80.132 3.6341
988.000000 80.220 4.3448
1000.000000 80.258 4.7616
1015.000000 80.340 5.4018
1030.000000 80.415 5.8034
1044.000000 80.465 6.3982
1060.000000 80.574 7.0755
1075.000000 80.651 7.3885
1090.000000 80.719 7.9882
1106.000000 80.798 8.5676
1120.000000 80.853 8.9469
1138.000000 80.941 9.6311
1150.000000 81.007 9.8885
1172.000000 81.121 10.5689
1180.000000 81.168 10.8109
1206.000000 81.285 11.5444
1220.000000 81.356 12.0597
1241.000000 81.471 12.5237
1250.000000 81.531 12.8829
1265.000000 81.581 13.3149
1280.000000 81.670 13.6608
1315.000000 81.869 14.6157
1320.000000 81.893 14.6110
1340.000000 82.003 15.0381
1360.000000 82.127 15.5828
1380.000000 82.221 16.0558
1400.000000 82.338 16.5644
1430.000000 82.506 17.2190
1450.000000 82.627 17.6379
1475.000000 82.744 18.3726
1500.000000 82.902 18.9290
1525.000000 83.036 19.3953
1550.000000 83.191 19.8992
1575.000000 83.330 20.3628
1600.000000 83.487 20.9546
1625.000000 83.598 21.3748
1650.000000 83.747 21.7833
1675.000000 83.885 22.0842
1700.000000 84.021 22.6861
1725.000000 84.134 22.8522
1750.000000 84.276 23.2852
1775.000000 84.431 23.3368
1800.000000 84.567 23.7145
1825.000000 84.718 23.8593
1850.000000 84.847 24.1684
1875.000000 84.981 24.3000
1900.000000 85.133 24.3498
1925.000000 85.292 24.4606
1950.000000 85.431 24.4651
1975.000000 85.584 24.5004
2000.000000 85.720 24.3771
2030.000000 85.877 24.2431
2060.000000 86.037 24.0905
2090.000000 86.185 23.8686
2120.000000 86.364 23.6118
2140.000000 86.457 23.3591
2180.000000 86.661 22.8788
2200.000000 86.750 22.5234
2240.000000 86.916 21.9283
2270.000000 87.071 21.3508
2300.000000 87.182 20.8242
2330.000000 87.277 20.2576
2360.000000 87.384 19.5328
2400.000000 87.515 18.6141
2430.000000 87.600 17.8813
2470.000000 87.710 16.9747
2500.000000 87.756 16.1741
2540.000000 87.852 15.1858
2580.000000 87.914 14.2909
2620.000000 87.969 13.4339
2650.000000 87.989 12.6026
2690.000000 88.025 11.8410
2720.000000 88.029 11.1719
2760.000000 88.043 10.2918
2800.000000 88.071 9.5902
2850.000000 88.058 8.7116
2900.000000 88.057 7.9675
2950.000000 88.043 7.2803
3000.000000 88.035 6.6868
3040.000000 88.037 6.0661
3070.000000 88.025 5.8300
3110.000000 88.034 5.4297
3150.000000 88.037 5.0647
3200.000000 88.037 4.5093
3250.000000 88.047 3.9219
3300.000000 88.046 3.2644
3350.000000 88.063 2.6798
3400.000000 88.066 2.1504
3450.000000 88.056 1.4369
3500.000000 88.071 0.6834
3550.000000 88.041 -0.1017
3600.000000 88.048 -0.8623
3650.000000 88.026 -1.7600
3700.000000 87.982 -2.8048
3750.000000 87.901 -3.7432
3820.000000 87.782 -5.2347
3870.000000 87.687 -6.1504
3950.000000 87.462 -7.5250
4000.000000 87.294 -8.3088
4060.000000 87.064 -9.0522
4120.000000 86.829 -9.5587
4180.000000 86.564 -9.9886
4250.000000 86.238 -10.3233
4310.000000 85.976 -10.1285
4370.000000 85.721 -9.7959
4440.000000 85.385 -8.9125
4500.000000 85.098 -8.0904
4550.000000 84.934 -7.2320
4620.000000 84.621 -5.9309
4680.000000 84.372 -4.5250
4750.000000 84.137 -2.5963
4820.000000 83.919 -0.7168
4870.000000 83.775 0.7552
4940.000000 83.618 2.9127
5000.000000 83.531 5.0441
5080.000000 83.383 7.6384
5150.000000 83.389 10.1415
5220.000000 83.363 12.5750
5300.000000 83.417 15.4313
5380.000000 83.546 18.1061
5450.000000 83.679 20.3301
5520.000000 83.881 22.3265
5600.000000 84.222 24.8154
5700.000000 84.834 27.1107
5800.000000 85.473 29.1214
