* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 14.10.2024 1:07:40
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L окт 14
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 91.158 -138.0862
20.299999 91.151 -139.2087
20.600000 91.149 -140.3095
20.900000 91.150 -141.3802
21.200001 91.153 -142.4142
21.400000 91.157 -143.0806
21.799999 91.167 -144.3570
22.000000 91.173 -144.9670
22.400000 91.186 -146.1318
22.700001 91.195 -146.9589
23.000000 91.202 -147.7470
23.299999 91.207 -148.4967
23.600000 91.209 -149.2106
24.000000 91.207 -150.1143
24.299999 91.201 -150.7655
24.700001 91.188 -151.6116
25.000000 91.174 -152.2369
25.400000 91.154 -153.0631
25.799999 91.127 -153.8829
26.200001 91.095 -154.7003
26.500000 91.068 -155.3167
26.900000 91.031 -156.1492
27.200001 91.003 -156.7840
27.600000 90.966 -157.6429
28.000000 90.932 -158.5121
28.500000 90.893 -159.6093
29.000000 90.862 -160.7153
29.500000 90.836 -161.8161
30.000000 90.813 -162.8807
30.400000 90.798 -163.6866
30.700001 90.788 -164.2607
31.100000 90.777 -164.9891
31.500000 90.768 -165.6808
32.000000 90.760 -166.4989
32.500000 90.749 -167.2651
33.000000 90.733 -167.9855
33.500000 90.711 -168.6776
34.000000 90.683 -169.3601
34.500000 90.648 -170.0396
35.000000 90.606 -170.7145
35.500000 90.562 -171.3894
36.000000 90.519 -172.0786
36.500000 90.477 -172.7915
37.000000 90.436 -173.5221
37.500000 90.398 -174.2559
38.200001 90.350 -175.2716
38.700001 90.321 -175.9815
39.500000 90.276 -177.0474
40.000000 90.251 -177.6506
40.599998 90.227 -178.3278
41.200001 90.202 -178.9824
41.799999 90.169 -179.6059
42.500000 90.124 179.7267
43.099998 90.083 179.1713
43.700001 90.040 178.5885
44.400002 89.982 177.8897
45.000000 89.931 177.3020
45.500000 89.893 176.8062
46.200001 89.843 176.0764
46.799999 89.799 175.4461
47.500000 89.749 174.7674
48.200001 89.708 174.1411
48.700001 89.681 173.7018
49.400002 89.641 173.1044
50.000000 89.604 172.6316
50.799999 89.555 172.0379
51.500000 89.508 171.5146
52.200001 89.455 170.9999
53.000000 89.394 170.4374
53.799999 89.338 169.8499
54.500000 89.289 169.3053
55.200001 89.237 168.7864
56.000000 89.185 168.2451
57.000000 89.127 167.5706
58.000000 89.063 166.9357
59.000000 88.999 166.3721
60.000000 88.931 165.8000
60.799999 88.873 165.3534
61.500000 88.823 164.9653
62.200001 88.775 164.5645
63.000000 88.720 164.1033
64.000000 88.655 163.5513
65.000000 88.595 163.0327
66.000000 88.534 162.5421
67.000000 88.471 162.0891
68.000000 88.408 161.6404
69.000000 88.339 161.1847
70.000000 88.269 160.7502
71.000000 88.206 160.3120
72.000000 88.144 159.8667
73.000000 88.083 159.4571
74.000000 88.026 159.0740
75.000000 87.965 158.7131
76.199997 87.893 158.3194
77.500000 87.809 157.8411
78.800003 87.726 157.4057
80.000000 87.653 156.9560
81.199997 87.583 156.5664
82.500000 87.513 156.1515
83.800003 87.437 155.7700
85.000000 87.367 155.4494
86.199997 87.295 155.1149
87.500000 87.218 154.7651
88.500000 87.163 154.4941
90.000000 87.082 154.1072
91.199997 87.019 153.8079
92.500000 86.949 153.4966
93.800003 86.873 153.1943
95.000000 86.806 152.9583
96.199997 86.745 152.6763
97.500000 86.674 152.3795
98.800003 86.607 152.1169
100.000000 86.546 151.8700
101.500000 86.466 151.5750
103.000000 86.391 151.3276
104.400002 86.323 151.0395
106.000000 86.239 150.7884
107.500000 86.168 150.5565
109.000000 86.096 150.2980
110.599998 86.014 150.0443
112.000000 85.951 149.8177
113.800003 85.864 149.5631
115.000000 85.812 149.3978
117.199997 85.708 149.1127
118.000000 85.668 148.9979
120.599998 85.547 148.6546
122.000000 85.486 148.4943
124.099998 85.397 148.2450
125.000000 85.358 148.1344
126.500000 85.296 147.9957
128.000000 85.237 147.8191
131.500000 85.100 147.4659
132.000000 85.080 147.4223
134.000000 85.006 147.2585
136.000000 84.926 147.0888
138.000000 84.851 146.9028
140.000000 84.779 146.7170
143.000000 84.669 146.5178
145.000000 84.592 146.3563
147.500000 84.506 146.2087
150.000000 84.417 146.0626
152.500000 84.335 145.9059
155.000000 84.246 145.7729
157.500000 84.173 145.6958
160.000000 84.089 145.5408
162.500000 83.979 145.4088
165.000000 83.886 145.3024
167.500000 83.781 145.1443
170.000000 83.682 145.0079
172.500000 83.576 144.8897
175.000000 83.473 144.7361
177.500000 83.369 144.5976
180.000000 83.271 144.5097
182.500000 83.167 144.4581
185.000000 83.063 144.3494
187.500000 82.959 144.2862
190.000000 82.861 144.1984
192.500000 82.762 144.1734
195.000000 82.665 144.0898
197.500000 82.571 144.0698
200.000000 82.465 144.0335
203.000000 82.370 143.9551
206.000000 82.275 143.9376
209.000000 82.181 143.9134
212.000000 82.082 143.8895
214.000000 82.020 143.8772
218.000000 81.887 143.8930
220.000000 81.821 143.8793
224.000000 81.690 143.9744
227.000000 81.597 144.0596
230.000000 81.496 144.0719
233.000000 81.396 144.1968
236.000000 81.300 144.3172
240.000000 81.176 144.4680
243.000000 81.080 144.5565
247.000000 80.941 144.7374
250.000000 80.815 144.8409
254.000000 80.632 145.1627
258.000000 80.434 145.9169
262.000000 80.237 147.1031
265.000000 80.130 148.4446
269.000000 80.118 150.6008
272.000000 80.248 151.9810
276.000000 80.505 152.7067
280.000000 80.695 152.2671
285.000000 80.781 151.3184
290.000000 80.761 150.5486
295.000000 80.713 150.0518
300.000000 80.661 149.7905
304.000000 80.651 149.6835
307.000000 80.679 149.5335
311.000000 80.742 148.5480
315.000000 80.587 146.5378
320.000000 80.210 146.4984
325.000000 80.037 147.0980
330.000000 79.920 147.5916
335.000000 79.822 147.9579
340.000000 79.733 148.1755
345.000000 79.644 148.4424
350.000000 79.556 148.6892
355.000000 79.481 148.9601
360.000000 79.393 149.1919
365.000000 79.322 149.4438
370.000000 79.259 149.7421
375.000000 79.187 149.9895
382.000000 79.090 150.3823
387.000000 79.016 150.6284
395.000000 78.918 151.0028
400.000000 78.846 151.2421
406.000000 78.776 151.5313
412.000000 78.713 151.7889
418.000000 78.640 152.0929
425.000000 78.552 152.4876
431.000000 78.485 152.7600
437.000000 78.421 153.1092
444.000000 78.343 153.4654
450.000000 78.273 153.7916
455.000000 78.230 154.1005
462.000000 78.163 154.4830
468.000000 78.107 154.8669
475.000000 78.028 155.2850
482.000000 77.969 155.6975
487.000000 77.922 155.9738
494.000000 77.871 156.4076
500.000000 77.823 156.7835
508.000000 77.757 157.2693
515.000000 77.710 157.7833
522.000000 77.661 158.1343
530.000000 77.621 158.6863
538.000000 77.576 159.1440
545.000000 77.539 159.6017
552.000000 77.488 159.9944
560.000000 77.460 160.5648
570.000000 77.417 161.2288
580.000000 77.365 161.8836
590.000000 77.335 162.6665
600.000000 77.320 163.3505
608.000000 77.309 163.8315
615.000000 77.317 164.2809
622.000000 77.320 164.8014
630.000000 77.333 165.2702
640.000000 77.380 165.8719
650.000000 77.462 166.2758
660.000000 77.510 166.7158
670.000000 77.606 166.9155
680.000000 77.704 166.8905
690.000000 77.788 166.4848
700.000000 77.836 165.8433
710.000000 77.822 165.0198
720.000000 77.755 164.2427
730.000000 77.641 163.6887
740.000000 77.497 163.3842
750.000000 77.315 163.4019
762.000000 77.149 163.9205
775.000000 76.996 164.5389
788.000000 76.875 165.2075
800.000000 76.755 165.8792
812.000000 76.709 166.7176
825.000000 76.646 167.6381
838.000000 76.628 168.6097
850.000000 76.614 169.3728
862.000000 76.614 170.4395
875.000000 76.637 171.3231
885.000000 76.652 172.0171
900.000000 76.691 173.0449
912.000000 76.729 173.8243
925.000000 76.760 174.6574
938.000000 76.788 175.2988
950.000000 76.819 175.9761
962.000000 76.851 176.7178
975.000000 76.893 177.4142
988.000000 76.942 178.2254
1000.000000 76.969 178.9311
1015.000000 77.083 179.7390
1030.000000 77.199 -179.5223
1044.000000 77.297 -178.8144
1060.000000 77.426 -177.8927
1075.000000 77.537 -177.2158
1090.000000 77.649 -176.3539
1106.000000 77.782 -175.5840
1120.000000 77.888 -174.9585
1138.000000 78.022 -174.0647
1150.000000 78.121 -173.5365
1172.000000 78.284 -172.4521
1180.000000 78.360 -172.1516
1206.000000 78.559 -171.0016
1220.000000 78.672 -170.3040
1241.000000 78.838 -169.4226
1250.000000 78.908 -169.1427
1265.000000 78.936 -168.4937
1280.000000 78.948 -167.7400
1315.000000 78.999 -166.4344
1320.000000 79.013 -166.2870
1340.000000 79.038 -165.3890
1360.000000 79.075 -164.6166
1380.000000 79.114 -163.8313
1400.000000 79.152 -163.1411
1430.000000 79.228 -162.0571
1450.000000 79.264 -161.4133
1475.000000 79.348 -160.4626
1500.000000 79.409 -159.6762
1525.000000 79.481 -158.8635
1550.000000 79.554 -158.0241
1575.000000 79.628 -157.2791
1600.000000 79.710 -156.4998
1625.000000 79.836 -155.7802
1650.000000 79.944 -155.1183
1675.000000 80.066 -154.3778
1700.000000 80.189 -153.7315
1725.000000 80.308 -153.0449
1750.000000 80.444 -152.4082
1775.000000 80.571 -151.8133
1800.000000 80.712 -151.2767
1825.000000 80.861 -150.5789
1850.000000 81.014 -150.0620
1875.000000 81.175 -149.5447
1900.000000 81.345 -149.1095
1925.000000 81.509 -148.6805
1950.000000 81.683 -148.3898
1975.000000 81.844 -148.1678
2000.000000 82.008 -147.9838
2030.000000 82.196 -147.8808
2060.000000 82.386 -147.7535
2090.000000 82.571 -147.7677
2120.000000 82.758 -147.7775
2140.000000 82.872 -147.8767
2180.000000 83.119 -148.0920
2200.000000 83.230 -148.1444
2240.000000 83.464 -148.6072
2270.000000 83.631 -149.0077
2300.000000 83.799 -149.4288
2330.000000 83.960 -149.9661
2360.000000 84.109 -150.5455
2400.000000 84.308 -151.4714
2430.000000 84.437 -152.2213
2470.000000 84.612 -153.3791
2500.000000 84.711 -154.3593
2540.000000 84.837 -155.6826
2580.000000 84.934 -157.0572
2620.000000 85.000 -158.5723
2650.000000 85.026 -159.6381
2690.000000 85.041 -161.0660
2720.000000 85.029 -162.0906
2760.000000 84.994 -163.3734
2800.000000 84.935 -164.6929
2850.000000 84.825 -166.0883
2900.000000 84.697 -167.2463
2950.000000 84.552 -168.2050
3000.000000 84.390 -168.9879
3040.000000 84.259 -169.4149
3070.000000 84.152 -169.6897
3110.000000 84.029 -169.9758
3150.000000 83.908 -170.0125
3200.000000 83.730 -170.0751
3250.000000 83.565 -169.8781
3300.000000 83.427 -169.6779
3350.000000 83.288 -169.2918
3400.000000 83.180 -168.8002
3450.000000 83.074 -168.2619
3500.000000 82.993 -167.7487
3550.000000 82.914 -167.1543
3600.000000 82.846 -166.4965
3650.000000 82.796 -165.9194
3700.000000 82.756 -165.4081
3750.000000 82.716 -164.7274
3820.000000 82.673 -163.8752
3870.000000 82.662 -163.2622
3950.000000 82.633 -162.2869
4000.000000 82.625 -161.5957
4060.000000 82.644 -160.8546
4120.000000 82.652 -160.0204
4180.000000 82.686 -159.1069
4250.000000 82.757 -158.1261
4310.000000 82.860 -157.2374
4370.000000 82.987 -156.6058
4440.000000 83.158 -156.1148
4500.000000 83.303 -155.9416
4550.000000 83.437 -155.9813
4620.000000 83.612 -156.1272
4680.000000 83.740 -156.9010
4750.000000 83.776 -158.0565
4820.000000 83.746 -159.3899
4870.000000 83.686 -159.9885
4940.000000 83.603 -160.8052
5000.000000 83.508 -161.4744
5080.000000 83.372 -162.2040
5150.000000 83.221 -162.6922
5220.000000 83.070 -163.1367
5300.000000 82.855 -163.2895
5380.000000 82.664 -163.3750
5450.000000 82.474 -163.3363
5520.000000 82.298 -162.9194
5600.000000 82.181 -162.3967
5700.000000 82.094 -161.2254
5800.000000 82.062 -159.5895
5900.000000 82.202 -156.8622
6000.000000 82.700 -157.4153
6080.000000 82.543 -158.3159
6150.000000 82.447 -157.5051
