* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 14.10.2024 1:07:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R окт 14
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.855 -138.2776
20.299999 90.846 -139.4022
20.600000 90.844 -140.5069
20.900000 90.844 -141.5841
21.200001 90.848 -142.6265
21.400000 90.852 -143.2990
21.799999 90.863 -144.5874
22.000000 90.869 -145.2027
22.400000 90.883 -146.3758
22.700001 90.893 -147.2061
23.000000 90.901 -147.9933
23.299999 90.906 -148.7371
23.600000 90.909 -149.4401
24.000000 90.909 -150.3246
24.299999 90.905 -150.9617
24.700001 90.895 -151.7944
25.000000 90.882 -152.4147
25.400000 90.862 -153.2369
25.799999 90.834 -154.0473
26.200001 90.799 -154.8441
26.500000 90.771 -155.4396
26.900000 90.734 -156.2449
27.200001 90.707 -156.8658
27.600000 90.671 -157.7191
28.000000 90.635 -158.5928
28.500000 90.593 -159.6922
29.000000 90.557 -160.7815
29.500000 90.529 -161.8503
30.000000 90.508 -162.8858
30.400000 90.496 -163.6821
30.700001 90.488 -164.2592
31.100000 90.479 -165.0026
31.500000 90.469 -165.7134
32.000000 90.458 -166.5432
32.500000 90.442 -167.2930
33.000000 90.422 -167.9745
33.500000 90.401 -168.6276
34.000000 90.374 -169.2871
34.500000 90.338 -169.9525
35.000000 90.295 -170.6068
35.500000 90.251 -171.2550
36.000000 90.208 -171.9271
36.500000 90.166 -172.6389
37.000000 90.122 -173.3687
37.500000 90.080 -174.0853
38.200001 90.033 -175.0639
38.700001 90.006 -175.7653
39.500000 89.962 -176.8468
40.000000 89.935 -177.4506
40.599998 89.910 -178.1128
41.200001 89.885 -178.7538
41.799999 89.853 -179.3686
42.500000 89.807 179.9808
43.099998 89.767 179.4401
43.700001 89.723 178.8630
44.400002 89.662 178.1779
45.000000 89.609 177.6235
45.500000 89.572 177.1559
46.200001 89.524 176.4411
46.799999 89.478 175.8198
47.500000 89.427 175.1856
48.200001 89.392 174.5983
48.700001 89.369 174.1503
49.400002 89.327 173.5241
50.000000 89.283 173.0723
50.799999 89.234 172.5489
51.500000 89.194 172.0371
52.200001 89.140 171.4917
53.000000 89.071 170.9227
53.799999 89.010 170.3763
54.500000 88.961 169.8672
55.200001 88.914 169.3511
56.000000 88.861 168.7922
57.000000 88.803 168.1378
58.000000 88.743 167.5140
59.000000 88.679 166.9664
60.000000 88.617 166.4376
60.799999 88.561 165.9755
61.500000 88.506 165.5988
62.200001 88.456 165.2576
63.000000 88.407 164.8314
64.000000 88.341 164.2627
65.000000 88.276 163.7920
66.000000 88.222 163.3373
67.000000 88.162 162.8600
68.000000 88.094 162.4185
69.000000 88.025 162.0183
70.000000 87.961 161.6076
71.000000 87.896 161.1821
72.000000 87.835 160.7701
73.000000 87.776 160.3648
74.000000 87.715 159.9908
75.000000 87.656 159.6612
76.199997 87.588 159.2529
77.500000 87.506 158.7866
78.800003 87.423 158.3776
80.000000 87.359 157.9740
81.199997 87.289 157.5782
82.500000 87.221 157.2274
83.800003 87.148 156.8492
85.000000 87.079 156.5456
86.199997 87.008 156.2173
87.500000 86.934 155.8811
88.500000 86.880 155.6008
90.000000 86.798 155.2348
91.199997 86.736 154.9661
92.500000 86.667 154.6917
93.800003 86.598 154.4072
95.000000 86.532 154.1221
96.199997 86.464 153.8694
97.500000 86.402 153.6196
98.800003 86.340 153.3410
100.000000 86.280 153.1191
101.500000 86.205 152.8580
103.000000 86.131 152.5850
104.400002 86.055 152.3567
106.000000 85.985 152.0651
107.500000 85.906 151.8326
109.000000 85.841 151.6059
110.599998 85.763 151.3533
112.000000 85.697 151.1633
113.800003 85.616 150.9080
115.000000 85.559 150.7445
117.199997 85.464 150.4653
118.000000 85.423 150.3535
120.599998 85.310 150.0673
122.000000 85.251 149.8768
124.099998 85.153 149.6445
125.000000 85.112 149.5706
126.500000 85.058 149.4123
128.000000 84.997 149.2657
131.500000 84.868 148.9508
132.000000 84.851 148.9211
134.000000 84.777 148.7114
136.000000 84.698 148.5396
138.000000 84.628 148.3487
140.000000 84.554 148.1922
143.000000 84.451 147.9484
145.000000 84.377 147.8109
147.500000 84.285 147.6163
150.000000 84.194 147.4911
152.500000 84.100 147.2763
155.000000 84.012 147.1646
157.500000 83.913 147.0755
160.000000 83.824 146.9313
162.500000 83.706 146.9111
165.000000 83.585 146.8962
167.500000 83.473 146.9867
170.000000 83.365 147.0370
172.500000 83.267 147.1324
175.000000 83.184 147.2006
177.500000 83.107 147.2623
180.000000 83.029 147.2289
182.500000 82.946 147.2193
185.000000 82.864 147.1718
187.500000 82.781 147.1487
190.000000 82.694 147.0911
192.500000 82.615 147.0659
195.000000 82.536 147.0205
197.500000 82.457 146.9666
200.000000 82.379 146.9171
203.000000 82.302 146.8297
206.000000 82.230 146.7766
209.000000 82.148 146.7318
212.000000 82.065 146.6395
214.000000 82.015 146.6161
218.000000 81.906 146.5637
220.000000 81.849 146.5317
224.000000 81.728 146.4183
227.000000 81.645 146.4049
230.000000 81.552 146.4341
233.000000 81.457 146.4295
236.000000 81.365 146.4921
240.000000 81.233 146.4511
243.000000 81.123 146.4578
247.000000 80.956 146.5587
250.000000 80.806 146.7636
254.000000 80.590 147.3265
258.000000 80.356 148.6134
262.000000 80.202 150.9317
265.000000 80.264 153.2014
269.000000 80.664 154.8531
272.000000 80.930 154.2368
276.000000 81.052 152.7098
280.000000 81.026 151.5706
285.000000 80.915 150.7471
290.000000 80.796 150.2916
295.000000 80.682 150.1626
300.000000 80.586 150.1368
304.000000 80.525 150.2736
307.000000 80.497 150.4702
311.000000 80.530 150.6931
315.000000 80.699 149.8580
320.000000 80.443 147.1004
325.000000 80.083 147.5504
330.000000 79.931 148.3112
335.000000 79.827 148.8712
340.000000 79.729 149.2878
345.000000 79.633 149.6264
350.000000 79.547 149.9527
355.000000 79.459 150.2950
360.000000 79.392 150.5662
365.000000 79.335 150.9136
370.000000 79.280 151.1956
375.000000 79.227 151.4685
382.000000 79.145 151.7713
387.000000 79.088 151.9824
395.000000 78.982 152.2539
400.000000 78.916 152.4463
406.000000 78.842 152.7614
412.000000 78.764 153.0900
418.000000 78.693 153.3274
425.000000 78.618 153.7072
431.000000 78.564 154.0997
437.000000 78.489 154.4159
444.000000 78.423 154.7921
450.000000 78.358 155.0475
455.000000 78.311 155.3764
462.000000 78.250 155.7725
468.000000 78.190 156.0529
475.000000 78.129 156.5513
482.000000 78.075 156.9103
487.000000 78.037 157.1993
494.000000 77.992 157.6395
500.000000 77.940 157.9722
508.000000 77.880 158.4521
515.000000 77.842 158.9341
522.000000 77.809 159.2367
530.000000 77.760 159.7005
538.000000 77.708 160.1069
545.000000 77.659 160.6141
552.000000 77.623 161.0685
560.000000 77.593 161.5707
570.000000 77.547 162.1415
580.000000 77.516 162.7045
590.000000 77.485 163.4505
600.000000 77.464 163.9522
608.000000 77.452 164.4650
615.000000 77.455 164.8901
622.000000 77.465 165.3008
630.000000 77.472 165.6039
640.000000 77.500 166.2475
650.000000 77.534 166.6615
660.000000 77.583 167.0752
670.000000 77.630 167.3309
680.000000 77.703 167.5469
690.000000 77.760 167.6541
700.000000 77.822 167.4866
710.000000 77.878 167.2311
720.000000 77.915 166.6805
730.000000 77.936 166.0157
740.000000 77.890 165.1668
750.000000 77.786 164.4355
762.000000 77.593 163.7352
775.000000 77.357 163.5100
788.000000 77.115 163.9299
800.000000 76.905 164.6763
812.000000 76.793 165.7801
825.000000 76.691 166.8943
838.000000 76.653 168.1642
850.000000 76.641 169.3504
862.000000 76.627 170.3776
875.000000 76.656 171.4820
885.000000 76.676 172.2806
900.000000 76.728 173.4520
912.000000 76.764 174.3281
925.000000 76.812 175.2160
938.000000 76.847 176.0280
950.000000 76.913 176.7872
962.000000 76.953 177.4708
975.000000 76.994 178.2060
988.000000 77.051 178.9421
1000.000000 77.101 179.6076
1015.000000 77.208 -179.5149
1030.000000 77.326 -178.6583
1044.000000 77.444 -177.9563
1060.000000 77.573 -177.1998
1075.000000 77.689 -176.3898
1090.000000 77.804 -175.6525
1106.000000 77.945 -174.9233
1120.000000 78.054 -174.1855
1138.000000 78.200 -173.3766
1150.000000 78.308 -172.7783
1172.000000 78.487 -171.8547
1180.000000 78.561 -171.4098
1206.000000 78.777 -170.3096
1220.000000 78.888 -169.7334
1241.000000 79.074 -168.8295
1250.000000 79.146 -168.5247
1265.000000 79.163 -167.9312
1280.000000 79.190 -167.4198
1315.000000 79.240 -166.0639
1320.000000 79.258 -165.8862
1340.000000 79.301 -165.0449
1360.000000 79.345 -164.3405
1380.000000 79.382 -163.6338
1400.000000 79.439 -162.8658
1430.000000 79.516 -161.9075
1450.000000 79.566 -161.1874
1475.000000 79.638 -160.4068
1500.000000 79.731 -159.6897
1525.000000 79.790 -158.8972
1550.000000 79.865 -158.1519
1575.000000 79.944 -157.5132
1600.000000 80.026 -156.8341
1625.000000 80.152 -156.1245
1650.000000 80.284 -155.4307
1675.000000 80.413 -154.8671
1700.000000 80.540 -154.3445
1725.000000 80.669 -153.7295
1750.000000 80.810 -153.1730
1775.000000 80.940 -152.6487
1800.000000 81.083 -152.1882
1825.000000 81.225 -151.7651
1850.000000 81.371 -151.3697
1875.000000 81.511 -150.9516
1900.000000 81.664 -150.6706
1925.000000 81.822 -150.2685
1950.000000 81.974 -149.9747
1975.000000 82.125 -149.8158
2000.000000 82.289 -149.5251
2030.000000 82.465 -149.3664
2060.000000 82.638 -149.1934
2090.000000 82.845 -149.1041
2120.000000 83.024 -149.1088
2140.000000 83.161 -149.2000
2180.000000 83.423 -149.4552
2200.000000 83.548 -149.7043
2240.000000 83.798 -150.2194
2270.000000 83.981 -150.7366
2300.000000 84.150 -151.4326
2330.000000 84.313 -152.1154
2360.000000 84.472 -152.8666
2400.000000 84.668 -154.0401
2430.000000 84.790 -155.0561
2470.000000 84.922 -156.4662
2500.000000 85.013 -157.4609
2540.000000 85.147 -159.0171
2580.000000 85.225 -160.6945
2620.000000 85.250 -162.4134
2650.000000 85.248 -163.6236
2690.000000 85.215 -165.1062
2720.000000 85.185 -166.2152
2760.000000 85.133 -167.6127
2800.000000 85.032 -168.9693
2850.000000 84.876 -170.5432
2900.000000 84.668 -171.7070
2950.000000 84.453 -172.4505
3000.000000 84.231 -172.9707
3040.000000 84.066 -173.0918
3070.000000 83.946 -173.0512
3110.000000 83.801 -172.9373
3150.000000 83.671 -172.6777
3200.000000 83.525 -172.3059
3250.000000 83.411 -171.8563
3300.000000 83.300 -171.3989
3350.000000 83.205 -170.9663
3400.000000 83.119 -170.5657
3450.000000 83.047 -170.0124
3500.000000 82.995 -169.4633
3550.000000 82.949 -168.9116
3600.000000 82.923 -168.4389
3650.000000 82.895 -167.9344
3700.000000 82.891 -167.3686
3750.000000 82.906 -166.9616
3820.000000 82.924 -166.4707
3870.000000 82.957 -166.2334
3950.000000 83.006 -166.1039
4000.000000 83.037 -166.2090
4060.000000 83.031 -166.3657
4120.000000 83.004 -166.6655
4180.000000 82.957 -167.0424
4250.000000 82.830 -167.2154
4310.000000 82.720 -167.0489
4370.000000 82.610 -166.4569
4440.000000 82.531 -165.4433
4500.000000 82.546 -164.6487
4550.000000 82.595 -164.0106
4620.000000 82.670 -163.8076
4680.000000 82.673 -164.1336
4750.000000 82.625 -164.4008
4820.000000 82.528 -164.7651
4870.000000 82.439 -164.9302
4940.000000 82.287 -165.0157
5000.000000 82.158 -165.0710
5080.000000 81.955 -164.7448
5150.000000 81.795 -164.2544
5220.000000 81.638 -163.7455
5300.000000 81.498 -162.8898
5380.000000 81.376 -161.9503
5450.000000 81.274 -161.0832
5520.000000 81.186 -160.2816
5600.000000 81.154 -159.2908
5700.000000 81.241 -157.8891
5800.000000 81.319 -156.3655
5900.000000 81.455 -154.6897
6000.000000 81.664 -152.4764
6080.000000 82.152 -151.5889
6150.000000 82.254 -152.9630
