* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek(R) Audio), MICROPHONE (־בשאÿ דנמלךמסעü), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13.08.2024 12:35:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L אגד 13
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.724	38.6719
20.299999	85.721	37.5145
20.600000	85.714	36.4021
20.900000	85.705	35.3344
21.200001	85.697	34.2970
21.400000	85.694	33.6085
21.799999	85.692	32.2195
22.000000	85.690	31.5141
22.400000	85.680	30.0890
22.700001	85.667	29.0308
23.000000	85.651	28.0055
23.299999	85.635	27.0203
23.600000	85.622	26.0671
24.000000	85.612	24.8208
24.299999	85.607	23.8849
24.700001	85.601	22.6323
25.000000	85.594	21.7055
25.400000	85.583	20.5160
25.799999	85.574	19.3936
26.200001	85.569	18.3165
26.500000	85.569	17.5148
26.900000	85.568	16.4376
27.200001	85.564	15.6309
27.600000	85.552	14.5833
28.000000	85.534	13.5951
28.500000	85.514	12.4345
29.000000	85.498	11.2908
29.500000	85.480	10.1204
30.000000	85.453	8.9479
30.400000	85.428	8.0366
30.700001	85.410	7.3680
31.100000	85.388	6.4752
31.500000	85.367	5.5630
32.000000	85.334	4.4077
32.500000	85.295	3.2961
33.000000	85.258	2.2724
33.500000	85.233	1.3047
34.000000	85.219	0.3250
34.500000	85.208	-0.6896
35.000000	85.193	-1.7084
35.500000	85.174	-2.7014
36.000000	85.153	-3.6717
36.500000	85.126	-4.6252
37.000000	85.093	-5.5411
37.500000	85.057	-6.3941
38.200001	85.014	-7.5095
38.700001	84.989	-8.3077
39.500000	84.950	-9.6472
40.000000	84.921	-10.5070
40.599998	84.885	-11.5420
41.200001	84.845	-12.5658
41.799999	84.802	-13.5571
42.500000	84.753	-14.6553
43.099998	84.713	-15.5461
43.700001	84.677	-16.3893
44.400002	84.643	-17.3389
45.000000	84.621	-18.1819
45.500000	84.598	-18.9252
46.200001	84.552	-19.9701
46.799999	84.505	-20.8019
47.500000	84.455	-21.7227
48.200001	84.410	-22.6704
48.700001	84.374	-23.3511
49.400002	84.327	-24.2551
50.000000	84.296	-25.0206
50.799999	84.255	-26.1221
51.500000	84.204	-27.0767
52.200001	84.150	-27.9024
53.000000	84.103	-28.7601
53.799999	84.065	-29.6627
54.500000	84.027	-30.4941
55.200001	83.979	-31.3256
56.000000	83.918	-32.2231
57.000000	83.853	-33.3210
58.000000	83.785	-34.4832
59.000000	83.716	-35.5544
60.000000	83.659	-36.6135
60.799999	83.606	-37.4351
61.500000	83.565	-38.0970
62.200001	83.529	-38.7935
63.000000	83.477	-39.6283
64.000000	83.406	-40.5479
65.000000	83.354	-41.4633
66.000000	83.297	-42.5117
67.000000	83.220	-43.5015
68.000000	83.156	-44.3234
69.000000	83.113	-45.2531
70.000000	83.044	-46.2223
71.000000	82.981	-47.0220
72.000000	82.921	-47.9271
73.000000	82.843	-48.7313
74.000000	82.789	-49.4847
75.000000	82.728	-50.3733
76.199997	82.646	-51.2573
77.500000	82.596	-52.3162
78.800003	82.492	-53.4139
80.000000	82.439	-54.1467
81.199997	82.363	-55.2694
82.500000	82.274	-55.9919
83.800003	82.216	-57.0817
85.000000	82.131	-57.8781
86.199997	82.070	-58.7402
87.500000	81.994	-59.6392
88.500000	81.932	-60.3671
90.000000	81.846	-61.2702
91.199997	81.787	-62.0753
92.500000	81.718	-62.9349
93.800003	81.637	-63.6956
95.000000	81.581	-64.3866
96.199997	81.518	-65.1451
97.500000	81.447	-65.9236
98.800003	81.379	-66.7100
100.000000	81.313	-67.4168
101.500000	81.230	-68.2264
103.000000	81.163	-68.9506
104.400002	81.108	-69.7646
106.000000	81.018	-70.6704
