* Measurement data measured by REW V5.31.3
* Source: Microphone (Realtek(R) Audio), MICROPHONE (־בשאÿ דנמלךמסעü), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 13.08.2024 12:39:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R אגד 13
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.726	31.0804
20.299999	85.733	29.9614
20.600000	85.732	28.8395
20.900000	85.720	27.7411
21.200001	85.701	26.6844
21.400000	85.689	26.0028
21.799999	85.663	24.6791
22.000000	85.650	24.0290
22.400000	85.621	22.7382
22.700001	85.599	21.7797
23.000000	85.575	20.8381
23.299999	85.551	19.9219
23.600000	85.528	19.0314
24.000000	85.506	17.8723
24.299999	85.495	17.0054
24.700001	85.486	15.8271
25.000000	85.482	14.9172
25.400000	85.476	13.6744
25.799999	85.464	12.4274
26.200001	85.445	11.2148
26.500000	85.428	10.3445
26.900000	85.405	9.2404
27.200001	85.389	8.4469
27.600000	85.369	7.4207
28.000000	85.348	6.4220
28.500000	85.319	5.2224
29.000000	85.287	4.0959
29.500000	85.258	3.0319
30.000000	85.235	1.9810
30.400000	85.220	1.1158
30.700001	85.208	0.4449
31.100000	85.187	-0.4731
31.500000	85.160	-1.4008
32.000000	85.118	-2.5355
32.500000	85.072	-3.6102
33.000000	85.030	-4.6291
33.500000	84.995	-5.6313
34.000000	84.963	-6.6429
34.500000	84.928	-7.6331
35.000000	84.891	-8.5507
35.500000	84.864	-9.4013
36.000000	84.849	-10.2654
36.500000	84.835	-11.2091
37.000000	84.805	-12.1954
37.500000	84.758	-13.1149
38.200001	84.693	-14.1898
38.700001	84.664	-14.9065
39.500000	84.628	-16.2513
40.000000	84.588	-17.1742
40.599998	84.525	-18.1924
41.200001	84.472	-19.0778
41.799999	84.441	-19.9940
42.500000	84.401	-21.2109
43.099998	84.346	-22.1891
43.700001	84.301	-22.9862
44.400002	84.287	-23.9415
45.000000	84.273	-24.9758
45.500000	84.232	-25.8513
46.200001	84.154	-26.8114
46.799999	84.110	-27.4579
47.500000	84.083	-28.3538
48.200001	84.035	-29.3903
48.700001	83.986	-30.0751
49.400002	83.925	-30.9275
50.000000	83.882	-31.6658
50.799999	83.823	-32.7036
51.500000	83.766	-33.5824
52.200001	83.715	-34.4202
53.000000	83.662	-35.3929
53.799999	83.602	-36.3568
54.500000	83.551	-37.1161
55.200001	83.511	-37.8580
56.000000	83.468	-38.8069
57.000000	83.395	-40.0287
58.000000	83.309	-41.1202
59.000000	83.242	-42.0659
60.000000	83.193	-43.1553
60.799999	83.124	-44.0264
61.500000	83.069	-44.5957
62.200001	83.043	-45.2230
63.000000	82.999	-46.1627
64.000000	82.907	-47.1464
65.000000	82.848	-48.0282
66.000000	82.780	-49.0540
67.000000	82.708	-49.9441
68.000000	82.647	-50.8563
69.000000	82.584	-51.7404
70.000000	82.524	-52.6514
71.000000	82.448	-53.5406
72.000000	82.382	-54.3247
73.000000	82.318	-55.2272
74.000000	82.244	-56.0240
75.000000	82.192	-56.8523
76.199997	82.107	-57.8539
77.500000	82.041	-58.8356
78.800003	81.953	-59.7837
80.000000	81.899	-60.6794
81.199997	81.809	-61.5804
82.500000	81.734	-62.5053
83.800003	81.649	-63.4093
85.000000	81.585	-64.2742
86.199997	81.516	-65.1036
87.500000	81.441	-65.9975
88.500000	81.388	-66.6487
90.000000	81.301	-67.6461
91.199997	81.237	-68.4424
92.500000	81.167	-69.2321
93.800003	81.102	-70.1326
95.000000	81.029	-70.8041
96.199997	80.977	-71.5180
97.500000	80.911	-72.2919
98.800003	80.833	-73.0798
100.000000	80.770	-73.6831
101.500000	80.700	-74.6635
103.000000	80.607	-75.5261
104.400002	80.544	-76.3000
106.000000	80.471	-77.3315
107.500000	80.377	-78.0366
109.000000	80.320	-78.8036
110.599998	80.256	-79.5963
112.000000	80.173	-80.4054
113.800003	80.093	-81.2517
115.000000	80.039	-81.7920
117.199997	79.928	-82.9377
118.000000	79.894	-83.1920
120.599998	79.781	-84.4965
122.000000	79.733	-85.0923
124.099998	79.620	-86.0189
125.000000	79.590	-86.3810
126.500000	79.529	-87.0383
128.000000	79.466	-87.6565
131.500000	79.323	-89.1077
132.000000	79.309	-89.2619
134.000000	79.230	-90.1407
136.000000	79.165	-90.8218
138.000000	79.071	-91.6208
140.000000	79.016	-92.3622
143.000000	78.918	-93.5136
145.000000	78.837	-94.1488
147.500000	78.745	-95.0366
150.000000	78.659	-95.8334
152.500000	78.599	-96.5396
155.000000	78.506	-97.4344
157.500000	78.454	-98.2330
160.000000	78.372	-98.8992
162.500000	78.312	-99.6744
165.000000	78.239	-100.3153
167.500000	78.188	-101.0312
170.000000	78.140	-101.6899
172.500000	78.076	-102.4168
175.000000	77.996	-103.0422
177.500000	77.845	-103.5509
180.000000	77.702	-104.0807
182.500000	77.549	-104.6314
185.000000	77.428	-105.2190
187.500000	77.341	-105.5727
190.000000	77.272	-106.0481
192.500000	77.218	-106.5116
195.000000	77.167	-106.7529
197.500000	77.110	-107.1952
200.000000	77.071	-107.6013
203.000000	77.021	-107.9562
206.000000	76.951	-108.0817
209.000000	76.875	-108.2742
212.000000	76.802	-108.3834
214.000000	76.768	-108.3351
218.000000	76.665	-108.0935
220.000000	76.635	-107.9254
224.000000	76.588	-107.2134
227.000000	76.576	-106.3378
230.000000	76.622	-105.1868
233.000000	76.786	-103.5687
236.000000	77.038	-101.4727
240.000000	77.768	-98.9673
243.000000	78.741	-98.5869
247.000000	80.201	-104.3140
250.000000	80.673	-113.3439
254.000000	80.170	-123.4884
258.000000	79.353	-128.3694
262.000000	78.683	-130.3275
265.000000	78.307	-130.9620
269.000000	77.928	-131.4584
272.000000	77.736	-131.6686
276.000000	77.491	-131.8459
280.000000	77.311	-131.9144
285.000000	77.126	-132.2915
290.000000	76.976	-132.4647
295.000000	76.850	-132.7615
300.000000	76.735	-132.9956
304.000000	76.658	-133.2169
307.000000	76.603	-133.5247
311.000000	76.502	-134.0413
315.000000	76.475	-134.3245
320.000000	76.381	-134.6816
325.000000	76.320	-135.0421
330.000000	76.266	-135.3307
335.000000	76.202	-135.6683
340.000000	76.175	-136.1057
345.000000	76.110	-136.4816
350.000000	76.076	-136.8033
355.000000	76.017	-137.1840
360.000000	75.990	-137.5538
365.000000	75.947	-137.8397
370.000000	75.920	-138.1904
375.000000	75.890	-138.4999
382.000000	75.833	-139.0347
387.000000	75.815	-139.3724
395.000000	75.761	-139.8032
400.000000	75.738	-139.9424
406.000000	75.713	-140.5304
412.000000	75.679	-140.7957
418.000000	75.631	-141.1912
425.000000	75.576	-141.5671
431.000000	75.599	-141.7795
437.000000	75.573	-141.9593
444.000000	75.535	-142.4491
450.000000	75.489	-142.5239
455.000000	75.487	-142.7654
462.000000	75.443	-143.0332
468.000000	75.439	-143.1848
475.000000	75.439	-143.4739
482.000000	75.404	-143.6545
487.000000	75.394	-144.0312
494.000000	75.378	-143.9913
500.000000	75.377	-144.3240
508.000000	75.367	-144.4929
515.000000	75.340	-144.7657
522.000000	75.341	-144.9028
530.000000	75.329	-145.1155
538.000000	75.334	-145.4045
545.000000	75.348	-145.4854
552.000000	75.346	-145.8325
560.000000	75.335	-146.0680
570.000000	75.360	-146.2865
580.000000	75.391	-146.6350
590.000000	75.424	-146.9617
600.000000	75.459	-147.2801
608.000000	75.482	-147.6537
615.000000	75.501	-147.9644
622.000000	75.522	-148.3565
630.000000	75.536	-148.8882
640.000000	75.548	-149.5162
650.000000	75.553	-150.3372
660.000000	75.557	-151.0255
670.000000	75.493	-152.0361
680.000000	75.416	-152.7773
690.000000	75.352	-153.3091
